way_id,highway,name,oneway,maxspeed_raw,refs
22846194,residential,Pestonji Lane,,,245653394|10877640891|245653417
22846197,residential,Garden Road,yes,,245653483|245653472|486226701|245653457
22846204,residential,N Sawant Road,,,245653225|623435062|10877640896|245653265
22846257,residential,,yes,,245653548|245653553|245653554
22846271,residential,Indumati Sakrikar Marg,,,245653395|245653406|623380600|12438097891|6901521406|245653433
22846295,residential,Bhaskar Rao Kargutkar Marg,yes,,245653450|9910849116|245653425|10943884159|10943884160|245653408
22846297,residential,Dumayne Marg,,,245653104|11070428756|11070428751|11070437998|8620901469|12353829989|245653121|4361337143|245653170
22846301,service,,,,245653133|11607192070|245653155|623431011|245653189|6912073883|245653224
22846305,service,,,,245653123|245653172
22846306,residential,Lala Ningam Road,yes,,245653379|245653385|1278850189|245653407|13997035274|9652365705|245653418|2241842637|245653449
22846339,residential,Panday Marg,yes,,486059698|245653232|9315182231|11029688943|245653188
22846348,secondary_link,Nathalal Parikh Road,yes,,486004411|2176726922|9833420665|486004416|9833420663|9833420664|486004376
22846358,residential,Brahma Kumari Road,yes,,245653438|9910890417|245653410
22846377,residential,Women's Graduate Union Road,,,245653071|245653079|245653087|9652365712|245653093
22846416,residential,,,,2241842414|12353829986|245653121
22846430,service,,,,623431005|2176723331|12564275938|12564275937|623824285|623836146|245653172|245653181|245653189
22846444,service,,,,4040029963|245653169|4040029965|2241842442
22846451,residential,Harbour Heights service road,,,623435046|623435052|12079463024|12079463023|11029668532|623435054|245653197|11037256983|245653225
22846453,residential,S Vaswani Road,,,245653086|4307040326
22846480,residential,First Pasta Lane,yes,,245653495|11029787962|11068751433|245653455
22846481,residential,S Bharucha Marg,yes,,245653464|1461446619|11068751434|2176765799|8602068502
22846482,residential,Walton Road,yes,,245653487|245653500|9909333266|245653507
22846504,residential,Rajwadkar Street,,,4602838891|245653372|245653394|623380673
22846533,residential,Second Pasta Lane,,,245653490|11029789341|245653449
22846536,residential,Justice Devshankar V Vyas Marg,,,245653364|2241842595
22846538,residential,,,,2176756838|2176756819|245653516|245653548
22846539,residential,,yes,,245653537|4364271234|2176756864|245653554
22846540,residential,,yes,,245653554|10097646285|471989572|471989573|245653555|13664298940|2176723347
22846544,residential,,,,245653447|2241842664|245653475
22846545,residential,G Sawant Marg,yes,,245653454|245653437
22846550,residential,Shri Haji Niyaz Ahmed Azmi Marg,yes,,245653379|2241842598|245653396
22846566,residential,Cowasji Jahangir Road,yes,,245653436|245653447|245653454
